./edb
> wait> attach -d /dev/ttyUSB0
> attach -d /dev/ttyUSB0> wait[K
6.416: .0.
6.417: start
6.451: .7.
6.480: .7.
6.530: .5.
6.546: 353/64
6.546: end
6.560: start
6.560: .2.
6.578: .7.
6.607: .5.
6.643: .3.
6.703: .7.
6.704: 353/64
6.704: end
6.704: start
6.785: .7.
6.815: 353/64
6.816: end
6.833: start
6.863: .2.
7.170: .6.
7.215: 353/64
7.231: end
7.231: start
7.247: .2.
7.279: .9.
7.343: .3.
7.375: 353/64
7.375: end
7.376: start
7.408: .2.
7.490: .6.
7.519: 353/64
7.520: end
7.535: start
7.551: .2.
7.567: .6.
7.599: .7.
7.935: .3.
7.954: 353/64
7.954: end
7.955: start
7.967: .2.
7.983: .6.
8.002: .6.
8.015: .5.
8.031: .7.
8.063: .5.
8.111: 353/64
8.111: end
8.111: start
8.127: .2.
8.143: .3.
8.175: .7.
8.257: 353/64
8.257: end
8.257: start
8.287: .2.
8.335: .5.
8.383: 353/64
8.383: end
8.401: start
8.687: .2.
8.735: .7.
8.783: .5.
8.801: 353/64
8.801: end
8.815: start
8.815: .2.
8.830: .2.
8.863: .9.
8.894: .6.
8.942: .7.
8.976: 353/64
8.976: end
8.977: start
9.038: .7.
9.086: .7.
9.105: 353/64
9.106: end
9.106: start
9.457: .7.
9.490: 353/64
9.503: end
9.504: start
9.534: .7.
9.614: .7.
9.634: 353/64
9.635: end
9.635: start
9.710: .5.
9.742: .6.
9.777: .4.
9.791: 353/64
9.792: end
9.792: start
9.824: .6.
9.841: .5.
9.857: .9.
9.887: .6.
9.904: .5.
9.918: .5.
10.223: .5.
10.224: 353/64
10.225: end
10.226: start
10.270: .7.
10.321: .10.
10.350: .5.
10.366: 353/64
10.367: end
10.382: start
10.398: .5.
10.430: .7.
10.481: .5.
10.512: 353/64
10.526: end
10.526: start
10.544: .2.
10.590: .7.
10.654: 353/64
10.654: end
10.654: start
10.672: .2.
10.685: .2.
10.989: .7.
11.053: .7.
11.070: 353/64
11.071: end
11.071: start
11.101: .9.
11.165: .5.
11.200: 353/64
11.200: end
11.200: start
11.229: .2.
11.277: .5.
11.341: .10.
11.341: 353/64
11.341: end
11.357: start
11.389: .7.
11.423: .3.
11.742: .5.
11.758: 353/64
11.758: end
11.759: start
11.821: .7.
11.888: 353/64
11.888: end
11.889: start
11.920: .10.
11.997: .6.
12.029: 353/64
12.030: end
12.030: start
12.063: .9.
12.124: .7.
12.157: 353/64
12.157: end
12.158: start
12.173: .2.
12.207: .7.
12.509: .6.
12.575: .5.
12.591: 353/64
12.591: end
12.591: start
12.623: .2.
12.655: .7.
12.700: .5.
12.766: .5.
12.766: 353/64
12.767: end
12.767: start
12.844: .7.
12.878: 353/64
12.878: end
12.892: start
12.908: .7.
12.972: .7.
13.294: .6.
13.295: 353/64
13.296: end
13.297: start
13.340: .3.
13.391: .4.
13.436: .4.
13.455: 353/64
13.455: end
13.455: start
13.500: .7.
13.534: .7.
13.599: 353/64
13.599: end
13.614: start
13.628: .2.
13.676: .7.
13.724: 353/64
13.740: end
13.740: start
13.772: .10.
14.063: .3.
14.109: .7.
14.156: .5.
14.157: 353/64
14.172: end
14.172: start
14.220: .9.
14.251: .3.
14.268: .7.
14.303: .7.
14.315: 353/64
14.332: end
14.332: start
14.379: .7.
14.443: .5.
14.444: 353/64
14.461: end
14.461: start
14.508: .7.
14.812: .7.
14.844: 353/64
14.844: end
14.844: start
14.878: .2.
14.907: .7.
14.971: .5.
14.987: 353/64
15.006: end
15.006: start
15.022: .2.
15.052: .6.
15.102: .10.
15.133: .10.
15.166: 353/64
15.167: end
15.167: start
15.198: .4.
15.259: .7.
15.291: .7.
15.582: .7.
15.583: 353/64
15.583: end
15.595: start
15.659: .5.
15.710: 353/64
15.711: end
15.712: start
15.727: .2.
15.755: .7.
15.789: .6.
15.838: .6.
15.867: 353/64
15.867: end
15.867: start
15.899: .10.
15.963: .7.
15.995: 353/64
15.995: end
15.996: start
16.045: .6.
16.349: .7.
16.396: .7.
16.414: 353/64
16.414: end
16.415: start
16.443: .6.
16.476: .7.
16.523: .5.
16.557: .7.
16.573: 353/64
16.574: end
16.576: start
16.605: .2.
16.682: .5.
16.701: 353/64
16.702: end
16.714: start
16.765: .7.
^C> 
_reviewer@chainvm:~/src/edb-console\[reviewer@chainvm edb-console]$ 
