./edb
> wait> attach -d /dev/ttyUSB0
> attach -d /dev/ttyUSB0> wait[K
1.786: .0.
1.787: start
2.281: .6.
2.514: .4.
2.730: .4.
3.211: .6.
3.432: .4.
3.927: .4.
4.152: .6.
4.650: .4.
4.890: .4.
5.368: .6.
5.591: .10.
6.090: .4.
6.311: .4.
6.534: .6.
7.016: .6.
7.255: .7.
7.751: .4.
7.974: .6.
8.470: .7.
8.698: .4.
8.717: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
8.717: end
8.717: start
9.181: .4.
9.422: .4.
9.900: .6.
10.142: .4.
10.348: .4.
10.846: .6.
11.052: .10.
11.547: .9.
11.786: .10.
12.286: .4.
12.521: .4.
13.005: .6.
13.227: .10.
13.724: .4.
13.931: .4.
14.155: .8.
14.652: .6.
14.873: .7.
15.370: .4.
15.595: .6.
16.089: .7.
16.113: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
16.114: end
16.115: start
16.335: .10.
16.830: .4.
17.057: .6.
17.552: .4.
17.757: .4.
17.968: .6.
18.465: .4.
18.701: .6.
19.181: .10.
19.407: .4.
19.901: .4.
20.127: .6.
20.620: .10.
20.861: .4.
21.069: .4.
21.563: .7.
21.790: .8.
22.267: .5.
22.507: .7.
22.972: .4.
22.989: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
22.989: end
23.005: start
23.213: .9.
23.722: .4.
23.965: .5.
24.445: .4.
24.666: .4.
25.177: .6.
25.386: .10.
25.627: .9.
26.105: .10.
26.345: .4.
26.841: .4.
27.068: .6.
27.547: .10.
27.768: .4.
28.251: .4.
28.476: .7.
28.685: .4.
29.194: .6.
29.399: .7.
29.896: .4.
30.134: .6.
30.135: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
30.135: end
30.136: start
30.614: .6.
30.856: .4.
31.353: .4.
31.575: .6.
32.070: .4.
32.281: .4.
32.507: .4.
32.984: .4.
33.208: .4.
33.688: .4.
33.927: .6.
34.405: .10.
34.648: .4.
35.125: .4.
35.367: .6.
35.572: .4.
36.052: .6.
36.293: .7.
36.771: .4.
36.996: .6.
37.492: .7.
37.515: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
37.516: end
37.516: start
37.738: .10.
38.219: .4.
38.442: .6.
38.924: .4.
39.130: .4.
39.370: .6.
39.865: .10.
40.091: .4.
40.584: .6.
40.809: .10.
41.289: .4.
41.528: .4.
42.008: .6.
42.232: .6.
42.456: .10.
42.951: .4.
43.178: .7.
43.655: .4.
43.879: .5.
44.375: .7.
44.611: .8.
44.613: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
44.613: end
44.614: start
45.105: .6.
45.331: .4.
45.824: .4.
46.048: .6.
46.271: .4.
46.751: .4.
46.978: .6.
47.456: .4.
47.679: .4.
48.161: .6.
48.398: .6.
48.879: .10.
49.105: .4.
49.294: .4.
49.790: .5.
50.033: .7.
50.512: .4.
50.733: .6.
51.229: .7.
51.456: .4.
51.477: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
51.478: end
51.479: start
51.938: .4.
52.163: .4.
52.370: .6.
52.867: .4.
53.074: .4.
53.570: .6.
53.794: .10.
54.291: .9.
54.513: .6.
54.994: .10.
55.217: .4.
55.729: .4.
55.937: .6.
56.147: .10.
56.641: .4.
56.865: .7.
57.345: .4.
57.552: .6.
58.032: .7.
58.256: .8.
58.767: .6.
58.768: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
58.783: end
58.784: start
59.010: .6.
59.219: .4.
59.710: .4.
59.922: .6.
60.415: .4.
60.638: .4.
61.119: .4.
61.343: .4.
61.838: .4.
62.078: .4.
62.286: .6.
62.768: .10.
62.990: .4.
63.486: .4.
63.709: .6.
