22.429: start
22.475: .2.
22.537: .5.
22.602: .5.
22.665: .5.
22.713: .5.
23.050: .5.
23.115: .5.
23.161: .5.
23.227: .7.
23.289: .8.
23.337: .8.
23.385: .8.
23.449: .8.
23.499: .8.
23.817: .8.
23.868: .8.
23.928: .8.
23.976: .8.
24.024: .8.
24.107: .8.
24.153: .8.
24.218: .8.
24.280: .8.
24.602: .8.
24.648: .8.
24.714: .8.
24.761: .8.
24.827: .8.
24.889: .8.
24.953: .8.
25.017: .8.
31.173: .8.
31.413: .8.
31.909: .8.
32.149: .8.
32.644: .8.
32.868: .8.
33.366: .8.
33.590: .8.
33.796: .8.
34.307: .8.
34.531: .8.
35.028: .8.
35.254: .8.
35.731: .8.
35.971: .8.
36.486: .8.
36.707: .8.
37.203: .8.
37.426: .8.
37.634: .8.
38.130: .8.
38.355: .8.
38.852: .8.
39.076: .8.
39.553: .8.
39.793: .8.
40.291: .8.
40.512: .8.
41.009: .8.
41.233: .8.
41.475: .8.
41.952: .8.
42.178: .8.
42.674: .8.
42.896: .8.
43.391: .8.
43.615: .8.
44.111: .8.
44.337: .8.
44.849: .8.
45.087: .8.
45.295: .8.
45.791: .8.
46.017: .8.
46.510: .8.
46.750: .8.
47.233: .8.
47.455: .8.
47.966: .8.
48.189: .8.
48.685: .8.
48.912: .8.
49.135: .8.
49.612: .8.
49.855: .8.
50.331: .8.
50.573: .8.
51.054: .8.
51.294: .8.
51.787: .8.
52.012: .8.
52.501: .8.
52.731: .8.
52.939: .8.
53.434: .8.
53.658: .8.
54.154: .8.
54.361: .8.
54.857: .8.
55.098: .8.
55.593: .8.
55.819: .8.
56.332: .8.
56.554: .8.
56.760: .8.
57.259: .8.
57.480: .8.
57.976: .8.
58.200: .8.
58.681: .8.
58.920: .8.
59.416: .8.
59.655: .8.
60.154: .8.
60.374: .8.
60.614: .8.
61.079: .8.
61.303: .8.
61.798: .8.
62.038: .8.
62.549: .8.
62.775: .8.
63.269: .8.
63.493: .8.
64.005: .8.
64.229: .8.
64.455: .8.
64.933: .8.
65.174: .8.
65.702: .8.
65.943: .8.
66.422: .8.
66.647: .8.
67.156: .8.
67.381: .8.
67.875: .8.
68.102: .8.
68.595: .8.
68.821: .8.
69.043: .8.
69.522: .8.
69.749: .8.
70.242: .8.
70.483: .8.
70.963: .8.
71.185: .8.
71.683: .8.
71.907: .8.
72.403: .8.

72.642: .8.

72.850: .8.
73.344: .8.
73.554: .8.
74.048: .8.
74.289: .8.
74.784: .8.
75.023: .8.
75.522: .8.
75.729: .8.
76.223: .8.
76.431: .8.
76.655: .8.
77.152: .8.
77.374: .8.
77.856: .8.
78.078: .8.
78.573: .8.
78.798: .8.
79.293: .8.
79.517: .8.
79.745: .8.
80.221: .8.
80.445: .8.
80.940: .8.
81.165: .8.
81.662: .8.
81.888: .8.
82.383: .8.
82.604: .8.
83.100: .8.
83.331: .8.
83.534: .8.
84.027: .8.
84.254: .8.
84.734: .8.
84.973: .8.
85.453: .8.
85.674: .8.
86.170: .8.
86.395: .8.
