3.505: a16465.
3.523: start: 
4.003: a3.
4.004: recovery: 6
4.231: a6.
4.452: a6.
4.915: a6.
5.136: a6.
5.616: a6.
5.839: a6.
6.320: a6.
6.545: a6.
7.025: a6.
7.263: a6.
7.470: a6.
7.950: a6.
8.174: a6.
8.656: a65535.
8.878: a8.
8.880: recovery: 56
9.373: a56.
9.600: a56.
10.077: a56.
10.269: a56.
10.511: a56.
10.988: a56.
11.214: a56.
11.711: a56.
11.932: a56.
12.414: a56.
12.635: a56.
13.130: a56.
13.338: a56.
13.562: a56.
14.043: a56.
14.268: a56.
14.764: a56.
14.984: a56.
15.449: a56.
15.673: a56.
15.897: a56.
16.362: a56.
16.379: rate: samples/block: 353/64
16.379: end
16.394: chkpt[6]=0
16.395: chkpt[56]=0
16.395: start: 
16.622: a6.
17.096: a6.
17.322: a6.
17.799: a6.
18.022: a6.
18.518: a6.
18.742: a6.
18.938: a6.
19.413: a6.
19.622: a6.
20.118: a6.
20.344: a6.
20.806: a6.
21.028: a6.
21.220: a56.
21.703: a56.
21.925: a56.
22.407: a56.
22.644: a56.
23.126: a56.
23.334: a56.
23.842: a56.
24.037: a56.
24.259: a56.
24.738: a56.
24.969: a56.
25.442: a56.
25.668: a56.
26.147: a56.
26.369: a56.
26.576: a56.
27.058: a56.
27.280: a56.
27.762: a56.
27.972: a56.
28.448: a56.
28.465: rate: samples/block: 353/64
28.466: end
28.467: chkpt[6]=1
28.479: chkpt[56]=0
28.480: start: 
28.702: a6.
29.186: a6.
29.375: a6.
29.617: a6.
30.080: a6.
30.304: a6.
30.800: a6.
31.021: a6.
31.485: a6.
31.725: a6.
31.932: a6.
32.413: a6.
32.639: a6.
33.118: a56.
33.325: a56.
33.819: a56.
34.043: a56.
34.252: a56.
34.732: a56.
34.954: a56.
35.437: a56.
35.658: a56.
36.139: a56.
36.346: a56.
36.841: a56.
37.050: a56.
37.260: a56.
37.755: a56.
37.960: a56.
38.441: a56.
38.648: a56.
39.163: a56.
39.400: a56.
39.592: a56.
40.070: a56.
40.282: a56.
40.762: a56.
40.785: rate: samples/block: 353/64
40.785: end
40.786: chkpt[6]=2
40.786: chkpt[56]=1
40.786: start: 
40.993: a6.
41.491: a6.
41.712: a6.
42.193: a6.
42.401: a6.
42.624: a6.
43.106: a6.
43.315: a6.
43.808: a6.
44.031: a6.
44.511: a65535.
44.734: a55.
44.735: recovery: 36
44.958: a36.
45.438: a36.
45.663: a36.
46.142: a36.
46.369: a36.
46.847: a36.
47.069: a36.
47.278: a65535.
47.758: a36.
47.982: a65535.
48.447: a65535.
48.671: a65535.
49.152: a65535.
49.371: a65535.
49.868: a65535.
50.094: a65535.
50.283: a65535.
50.780: a65535.
50.796: rate: samples/block: 353/64
50.797: end
50.810: chkpt[6]=4
51.018: a65535.
51.018: chkpt[36]=0
51.034: chkpt[56]=2
51.035: start: 
51.514: a6.
51.738: a6.
52.218: a6.
52.425: a6.
52.905: a6.
53.145: a6.
53.338: a36.
53.834: a36.
54.058: a36.
54.535: a36.
54.743: a36.
55.223: a36.
