5.320: a16464.
5.321: start
5.819: a92.
5.820: recovery: 93
6.027: a93.
6.507: a65535.
6.711: a98.
6.711: recovery: 101
6.935: a101.
7.415: a65535.
7.623: a110.
7.624: recovery: 111
8.089: a111.
8.295: a111.
8.502: a111.
8.981: a111.
9.189: a111.
9.669: a111.
9.893: a111.
10.373: a111.
10.581: a111.
10.789: a111.
11.268: a111.
11.492: a111.
11.971: a111.
12.179: a111.
12.675: a111.
12.886: a111.
13.076: a111.
13.555: a65535.
13.763: a15.
13.764: recovery: 27
14.242: a27.
14.451: a65535.
14.932: a4.
14.933: recovery: 1
15.140: a1.
15.347: a1.
15.809: a1.
16.017: a1.
16.484: a1.
16.690: a1.
16.914: a1.
17.376: a1.
17.586: a1.
18.063: a1.
18.258: a1.
18.737: a1.
18.927: a1.
19.137: a1.
19.614: a1.
19.806: a1.
20.286: a1.
20.481: a1.
20.672: a1.
21.149: a1.
21.376: a1.
21.853: a1.
22.060: a1.
22.268: a1.
22.751: a1.
22.955: a1.
23.420: a1.
23.645: a1.
24.110: a1.
24.302: a1.
24.523: a1.
24.986: a1.
25.212: a1.
25.676: a1.
25.884: a1.
26.362: a1.
26.572: a1.
26.777: a1.
27.243: a1.
27.465: a1.
27.944: a1.
28.152: a1.
28.360: a1.
28.840: a1.
29.047: a1.
29.543: a1.
29.754: a1.
30.233: a1.
30.438: a1.
30.665: a1.
31.125: a1.
31.334: a1.
31.814: a1.
32.037: a1.
32.501: a1.
32.711: a1.
32.919: a1.
33.383: a1.
33.604: a1.
34.084: a1.
34.294: a1.
34.484: a1.
34.949: a1.
35.157: a1.
35.635: a1.
35.858: a1.
36.325: a1.
36.530: a1.
36.754: a1.
37.218: a1.
37.428: a1.
37.891: a1.
38.097: a1.
38.580: a1.
38.769: a1.
38.976: a1.
39.444: a1.
39.648: a1.
40.127: a1.
40.336: a1.
40.560: a1.
41.025: a1.
41.234: a1.
41.710: a1.
41.934: a1.
42.399: a1.
42.606: a1.
42.813: a1.
43.293: a1.
43.500: a1.
43.980: a1.
44.188: a1.
44.671: a1.
44.875: a1.
45.084: a1.
45.563: a1.
45.771: a1.
46.270: a1.
46.474: a1.
46.698: a1.
47.164: a1.
47.373: a1.
47.850: a1.
48.058: a1.
48.553: a1.
48.761: a1.
48.985: a1.
49.448: a1.
49.675: a1.
50.155: a1.
50.376: a1.
50.841: a1.
51.064: a1.
51.255: a1.
51.737: a1.
51.945: a1.
52.423: a1.
52.630: a1.
53.110: a1.
53.320: a1.
53.526: a1.
54.006: a1.
54.213: a1.
54.677: a1.
54.901: a1.
55.380: a1.
55.588: a1.
55.812: a1.
56.276: a1.
56.484: a1.
56.963: a1.
57.172: a1.
57.382: a1.
57.845: a1.
58.053: a1.
58.514: a1.
58.721: a1.
59.187: a1.
59.409: a1.
59.633: a1.
60.116: a1.
60.321: a1.
60.801: a1.
61.027: a1.
61.216: a1.
61.680: a1.
61.904: a1.
62.368: a1.
62.594: a1.
63.072: a1.
63.279: a1.
63.503: a1.
63.966: a1.
64.174: a1.
64.654: a1.
64.862: a1.
65.326: a1.
65.533: a1.
65.759: a1.
66.239: a1.
66.445: a1.
66.911: a1.
67.135: a1.
67.615: a1.
67.821: a1.
68.046: a1.
68.508: a1.
