wait
2.404: a16465.
2.405: start: 
2.869: a5.
2.883: recovery: 3
3.075: a3.
3.283: a3.
3.748: a3.
3.971: a3.
4.452: a3.
4.658: a3.
4.866: a65535.
5.363: a42.
5.365: recovery: 40
5.572: a40.
6.035: a40.
6.243: a40.
6.720: a40.
6.912: a40.
7.121: a40.
7.600: a40.
7.808: a65535.
8.289: a40.
8.496: a65535.
8.690: a65535.
9.151: a40.
9.359: a65535.
9.385: rate: samples/block: 353/64
9.386: end
9.387: chkpt[3]=0
9.388: chkpt[40]=0
9.389: start: 
9.849: a3.
10.056: a3.
10.521: a3.
10.713: a3.
10.921: a3.
11.401: a3.
11.623: a40.
12.087: a40.
12.294: a40.
12.504: a40.
12.965: a40.
13.190: a40.
13.671: a40.
13.879: a40.
14.341: a40.
14.549: a65535.
14.740: a40.
15.222: a65535.
15.428: a65535.
15.892: a40.
16.099: a65535.
16.118: rate: samples/block: 353/64
16.119: end
16.119: chkpt[3]=1
16.131: chkpt[40]=0
16.132: start: 
16.611: a3.
16.804: a3.
17.013: a3.
17.474: a3.
17.682: a3.
18.146: a3.
18.337: a40.
18.561: a40.
19.025: a40.
19.233: a40.
19.713: a40.
19.920: a40.
20.115: a40.
20.576: a40.
20.784: a40.
21.264: a65535.
21.458: a40.
21.663: a65535.
22.127: a65535.
22.319: a40.
22.799: a65535.
22.817: rate: samples/block: 353/64
22.818: end
22.819: chkpt[3]=2
22.834: chkpt[40]=0
22.835: start: 
23.038: a3.
23.518: a3.
23.710: a3.
23.921: a3.
24.398: a3.
24.605: a40.
25.069: a40.
25.295: a40.
25.487: a40.
25.949: a40.
26.140: a40.
26.623: a40.
26.830: a40.
27.307: a65535.
27.502: a40.
27.708: a65535.
28.171: a65535.
28.380: a40.
28.844: a65535.
28.862: rate: samples/block: 353/64
28.862: end
28.863: chkpt[3]=4
28.874: chkpt[40]=0
28.875: start: 
29.084: a3.
29.274: a3.
29.737: a3.
29.945: a3.
30.441: a40.
30.667: a40.
31.144: a40.
31.336: a40.
31.562: a40.
32.024: a40.
32.250: a40.
32.729: a40.
32.951: a65535.
33.143: a40.
33.623: a65535.
33.830: a65535.
34.294: a40.
34.504: a65535.
34.522: rate: samples/block: 353/64
34.522: end
34.523: chkpt[3]=8
34.534: chkpt[40]=0
34.535: start: 
35.000: a65535.
35.193: a3.
35.415: a3.
35.881: a3.
36.088: a40.
36.551: a40.
36.756: a40.
36.951: a40.
37.428: a40.
37.636: a40.
38.116: a40.
38.324: a40.
38.803: a65535.
38.995: a40.
39.204: a65535.
39.666: a65535.
39.877: a40.
40.356: a65535.
40.380: rate: samples/block: 353/64
40.380: end
40.380: chkpt[3]=8
40.381: chkpt[40]=0
40.381: start: 
40.575: a65535.
40.767: a3.
