17.171: a16464.
17.172: start
17.667: a131.
17.904: a131.
18.418: a16.
18.640: a19.
19.151: a19.
19.377: a65535.
19.873: a16.
20.095: a18.
20.589: a18.
20.816: a65535.
21.309: a65.
21.535: a62.
21.742: a62.
22.240: a19.
22.446: a18.
22.925: a18.
23.165: a62.
23.660: a62.
23.904: a19.
24.415: a18.
24.636: a18.
25.133: a62.
25.325: a62.
25.548: a18.
26.047: a18.
26.252: a18.
26.735: a19.
26.958: a18.
27.452: a18.
27.677: a62.
28.189: a62.
28.411: a19.
28.636: a18.
29.132: a18.
29.359: a62.
29.854: a62.
30.092: a19.
30.574: a18.
30.779: a18.
31.277: a62.
31.515: a62.
31.515: end
32.014: a62.
32.015: start
32.237: a18.
32.442: a18.
32.923: a19.
33.149: a18.
33.643: a62.
33.866: a62.
34.348: a19.
34.570: a18.
35.068: a62.
35.308: a62.
35.801: a19.
36.044: a18.
36.249: a62.
36.730: a62.
36.969: a62.
37.465: a18.
37.704: a18.
38.201: a19.
38.426: a18.
38.904: a62.
39.128: a62.
39.624: a19.
39.851: a18.
40.361: a62.
40.568: a62.
40.792: a62.
41.289: a19.
41.514: a18.
41.991: a62.
42.218: a62.
42.713: a62.
42.713: end
42.730: start
42.951: a65535.
42.951: start
43.447: a18.
43.671: a18.
43.897: a18.
44.361: a62.
44.583: a62.
45.062: a62.
45.286: a19.
45.766: a18.
45.993: a62.
46.199: a62.
46.679: a19.
46.934: a18.
47.415: a62.
47.654: a62.
48.150: a62.
48.376: a19.
48.886: a18.
49.125: a18.
49.606: a18.
49.813: a62.
50.311: a62.
50.535: a18.
50.759: a18.
51.254: a62.
51.460: a62.
51.943: a18.
52.163: a18.
52.660: a62.
52.884: a62.
52.885: end
53.363: a62.
53.364: start
53.591: a18.
53.796: a18.
54.291: a18.
54.532: a62.
55.027: a62.
55.253: a19.
55.734: a18.
55.955: a62.
56.451: a62.
56.695: a19.
57.186: a18.
57.428: a62.
57.635: a62.
58.133: a62.
58.357: a18.
58.836: a18.
59.076: a18.
59.556: a62.
59.778: a62.
60.276: a62.
60.498: a18.
60.690: a18.
61.189: a62.
61.425: a62.
61.905: a18.
62.147: a18.
62.641: a62.
62.866: a62.
62.867: end
63.345: a62.
63.346: start
63.555: a18.
63.762: a18.
64.240: a18.
64.448: a62.
64.929: a62.
65.157: a18.
65.632: a18.
65.855: a62.
66.367: a62.
66.576: a18.
66.818: a18.
67.311: a62.
67.538: a62.
68.031: a62.
68.258: a18.
68.735: a18.
68.946: a18.
69.425: a18.
69.663: a62.
69.874: a62.
70.369: a18.
70.574: a18.
71.055: a62.
71.277: a62.
71.758: a18.
71.985: a18.
72.461: a62.
72.672: a62.
72.686: end
72.687: start
72.897: a65535.
72.899: start
73.405: a18.
73.646: a18.
74.126: a18.
74.351: a62.
74.829: a62.
75.054: a18.
75.548: a18.
75.792: a62.
76.284: a62.
76.526: a18.
76.733: a18.
77.230: a62.
77.452: a62.
77.935: a18.
78.156: a18.
78.652: a18.
78.876: a62.
79.359: a62.
79.563: a18.
79.772: a18.
80.253: a62.
80.478: a62.
80.971: a18.
81.198: a18.
81.707: a62.
81.915: a62.
81.933: end
81.934: start
82.411: a65535.
82.412: start
82.602: a18.
82.829: a18.
83.306: a62.
83.514: a62.
83.994: a18.
84.223: a18.
84.429: a62.
84.890: a62.
85.130: a18.
85.628: a62.
85.850: a62.
86.364: a62.
86.587: a18.
87.113: a18.
87.356: a18.
87.836: a62.
88.024: a62.
88.235: a18.
88.744: a62.
88.969: a62.
89.449: a18.
89.672: a18.
90.153: a62.
90.361: a62.
90.376: end
90.377: start
90.840: a65535.
90.856: start
91.079: a18.
91.274: a18.
91.769: a62.
91.992: a62.
92.487: a18.
92.729: a18.
93.222: a62.
93.433: a62.
93.913: a18.
94.119: a62.
94.375: a62.
94.870: a62.
95.097: a18.
95.590: a18.
95.818: a18.
96.293: a62.
96.504: a62.
96.982: a18.
97.210: a62.
97.448: a62.
97.910: a18.
98.117: a62.
98.613: a62.
98.824: a62.
98.825: end
99.301: a62.
99.301: start
99.528: a18.
100.021: a18.
100.231: a62.
100.469: a62.
100.965: a18.
101.189: a18.
101.652: a62.
101.862: a62.
102.342: a18.
102.564: a62.
