3.298: a16465.
3.299: start
3.793: a0.
4.019: a0.
4.020: backoff: 236
4.513: a0.
4.752: a0.
4.753: backoff: 216
4.976: a0.
5.475: a0.
5.699: a0.
6.191: a0.
6.417: a0.
6.910: a0.
7.150: a0.
7.646: a0.
7.870: a0.
8.369: a0.
8.589: a0.
9.087: a0.
9.295: a0.
9.296: backoff: 196
9.519: a0.
10.012: a0.
10.237: a0.
10.732: a0.
10.956: a0.
11.452: a0.
11.693: a0.
12.171: a0.
12.414: a0.
12.618: a0.
12.647: stats: s 1 (12%) m 7 (87%) sum/tot 8/8: V
12.647: end
12.648: start
13.111: a0.
13.335: a0.
13.812: a0.
14.052: a0.
14.551: a0.
14.774: a0.
15.270: a0.
15.494: a0.
15.987: a0.
16.227: a0.
16.435: a0.
16.916: a0.
17.154: a0.
17.650: a0.
17.874: a0.
18.354: a0.
18.593: a0.
19.089: a0.
19.313: a0.
19.811: a0.
20.032: a0.
20.275: a0.
20.751: a0.
20.978: a0.
21.025: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
21.026: end
21.027: start
21.505: a0.
21.729: a0.
22.208: a0.
22.448: a0.
22.959: a0.
23.181: a0.
23.676: a0.
23.916: a0.
24.124: a0.
24.604: a0.
24.830: a0.
25.307: a0.
25.548: a0.
26.042: a0.
26.269: a0.
26.762: a0.
26.970: a0.
27.466: a0.
27.676: a0.
27.913: a0.
28.393: a0.
28.620: a0.
29.097: a0.
29.323: a0.
29.346: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
29.347: end
29.347: start
29.828: a0.
30.067: a0.
30.563: a0.
30.786: a0.
31.013: a0.
31.504: a0.
31.728: a0.
32.227: a0.
32.447: a0.
32.945: a0.
33.167: a0.
33.665: a0.
33.886: a0.
34.385: a0.
34.607: a0.
34.813: a0.
35.329: a0.
35.552: a0.
36.030: a0.
36.253: a0.
36.764: a0.
36.988: a0.
37.468: a0.
37.723: a0.
37.725: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
37.725: end
37.726: start
38.202: a0.
38.439: a0.
38.934: a0.
39.160: a0.
39.400: a0.
39.877: a0.
40.103: a0.
40.597: a0.
40.821: a0.
41.320: a0.
41.557: a0.
42.052: a0.
42.262: a0.
42.772: a0.
42.995: a0.
43.203: a0.
43.718: a0.
43.923: a0.
44.419: a0.
44.642: a0.
45.138: a0.
45.381: a0.
45.876: a0.
46.081: a0.
46.107: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
46.108: end
46.108: start
46.315: a0.
46.780: a0.
47.010: a0.
47.498: a0.
47.705: a0.
48.201: a0.
48.412: a0.
48.904: a0.
49.115: a0.
49.339: a0.
49.816: a0.
50.039: a0.
50.537: a0.
50.759: a0.
51.240: a0.
51.463: a0.
51.958: a0.
52.151: a0.
52.391: a0.
52.870: a0.
53.096: a0.
53.590: a0.
53.797: a0.
54.293: a0.
54.315: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
54.316: end
54.316: start
54.521: a0.
55.000: a0.
55.227: a0.
55.448: a0.
55.929: a0.
56.151: a0.
56.648: a0.
56.873: a0.
57.370: a0.
57.591: a0.
58.086: a0.
58.295: a0.
58.537: a0.
58.997: a0.
59.224: a0.
59.718: a0.
59.940: a0.
60.423: a0.
60.644: a0.
61.139: a0.
61.350: a0.
61.572: a0.
62.054: a0.
62.276: a0.
62.279: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
62.294: end
62.296: start
62.773: a0.
62.979: a0.
63.475: a0.
63.699: a0.
64.194: a0.
64.418: a0.
64.915: a0.
65.121: a0.
65.345: a0.
65.824: a0.
66.050: a0.
66.529: a0.
66.751: a0.
67.232: a0.
67.442: a0.
67.666: a0.
68.162: a0.
68.386: a0.
68.880: a0.
69.086: a0.
69.582: a0.
69.805: a0.
70.288: a0.
70.512: a0.
70.541: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
70.542: end
70.544: start
71.019: a0.
71.228: a0.
71.451: a0.
71.931: a0.
72.155: a0.
72.653: a0.
72.859: a0.
73.357: a0.
73.578: a0.
73.785: a0.
74.269: a0.
74.489: a0.
74.984: a0.
75.193: a0.
75.675: a0.
75.898: a0.
76.395: a0.
76.619: a0.
76.842: a0.
77.305: a0.
77.543: a0.
78.038: a0.
78.262: a0.
78.745: a0.
78.766: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
78.767: end
78.767: start
78.974: a0.
79.454: a0.
79.680: a0.
79.901: a0.
80.381: a0.
80.605: a0.
81.100: a0.
81.309: a0.
81.788: a0.
82.011: a0.
82.492: a0.
82.716: a0.
82.924: a0.
